timestamp,serial,model,android,operator,network,private_ip,rsrp_dbm,rsrq_db,rssnr_db,cqi,band,earfcn,pci,carrier_aggregation,battery_percent,temperature_c,power_status,traffic_source,rx_total_bytes,tx_total_bytes,rx_interval_bytes,tx_interval_bytes,total_interval_bytes
2026-09-12 10:07:22,52000a84b2b21305,SM-G903F,6.0.1,orange,LTE,10.120.197.38,-103,-9,,,,,,True,85,33.0,CHARGING,sysfs,11367201601,3284278798,,,
2026-09-12 10:07:23,R5CR303YMGD,SM-G998B,14,orange,"LTE,Unknown",10.115.0.123,-110,-12,-1,7,20,6350,370,True,100,31.1,FULL,netstats,2313393133,2142163082,,,
2026-09-12 10:07:53,52000a84b2b21305,SM-G903F,6.0.1,orange,LTE,10.120.197.38,-103,-9,,,,,,True,85,33.2,CHARGING,sysfs,11367253394,3284309068,51793,30270,82063
2026-09-12 10:07:53,R5CR303YMGD,N/A,N/A,N/A,N/A,N/A,,,,,,,,,N/A,N/A,N/A,unavailable,,,,,
2026-09-12 10:08:24,52000a84b2b21305,SM-G903F,6.0.1,orange,LTE,10.120.197.38,-103,-9,,,,,,False,84,33.4,CHARGING,sysfs,11367268747,3284317814,15353,8746,24099
2026-09-12 10:08:25,R5CR303YMGD,SM-G998B,14,orange,"LTE,Unknown",10.115.0.123,-112,-13,-2,5,20,6350,370,True,100,32.1,FULL,netstats,2313767968,2142493464,374835,330382,705217
2026-09-12 10:08:55,52000a84b2b21305,SM-G903F,6.0.1,orange,LTE,10.120.197.38,-103,-9,,,,,,True,84,33.6,CHARGING,sysfs,11367320029,3284344827,51282,27013,78295
2026-09-12 10:08:56,R5CR303YMGD,SM-G998B,14,orange,"LTE,Unknown",10.115.0.123,-110,-11,0,4,20,6350,370,True,99,32.9,FULL,unavailable,,,,,
2026-09-12 10:09:27,52000a84b2b21305,SM-G903F,6.0.1,orange,LTE,10.120.197.38,-106,-9,,,,,,True,84,33.7,CHARGING,sysfs,11367809600,3284468719,489571,123892,613463
2026-09-12 10:09:27,R5CR303YMGD,SM-G998B,14,orange,"LTE,Unknown",10.115.0.123,-109,-11,-1,5,20,6350,370,True,99,33.3,FULL,netstats,2313829758,2142544565,61790,51101,112891
2026-09-12 10:09:58,52000a84b2b21305,SM-G903F,6.0.1,orange,LTE,10.120.197.38,-106,-11,,,,,,False,84,33.9,CHARGING,sysfs,11369108851,3284853083,1299251,384364,1683615
2026-09-12 10:09:59,R5CR303YMGD,SM-G998B,14,orange,"LTE,Unknown",10.115.0.123,-108,-11,0,4,20,6350,370,True,99,33.6,FULL,netstats,2313851318,2142562896,21560,18331,39891
2026-09-12 10:10:29,52000a84b2b21305,SM-G903F,6.0.1,orange,LTE,10.120.197.38,-107,-10,,,,,,True,84,34.2,CHARGING,sysfs,11369355827,3285111250,246976,258167,505143
2026-09-12 10:10:30,R5CR303YMGD,SM-G998B,14,orange,"LTE,Unknown",10.115.0.123,-110,-12,-2,5,20,6350,370,True,99,33.8,FULL,netstats,2313921157,2142609839,69839,46943,116782
2026-09-12 10:11:00,52000a84b2b21305,SM-G903F,6.0.1,orange,LTE,10.120.197.38,-108,-11,,,,,,True,84,34.4,CHARGING,sysfs,11369372864,3285184547,17037,73297,90334
2026-09-12 10:11:01,R5CR303YMGD,SM-G998B,14,orange,"LTE,Unknown",10.115.0.123,-109,-11,-1,6,20,6350,370,True,99,34.2,FULL,netstats,2314273890,2142996523,352733,386684,739417
2026-09-12 10:11:31,52000a84b2b21305,SM-G903F,6.0.1,orange,LTE,10.120.197.38,-105,-9,,,,,,True,83,34.6,CHARGING,sysfs,11369436052,3285364849,63188,180302,243490
2026-09-12 10:11:32,R5CR303YMGD,SM-G998B,14,orange,"LTE,Unknown",10.115.0.123,-109,-11,-1,6,20,6350,370,True,99,34.1,FULL,netstats,2314279821,2143004198,5931,7675,13606
2026-09-12 10:12:03,52000a84b2b21305,SM-G903F,6.0.1,orange,LTE,10.120.197.38,-105,-9,,,,,,True,83,34.7,CHARGING,sysfs,11369494544,3285400552,58492,35703,94195
2026-09-12 10:12:03,R5CR303YMGD,SM-G998B,14,orange,"LTE,Unknown",10.115.0.123,-107,-11,0,7,20,6350,370,True,99,34.2,FULL,netstats,2314291108,2143020707,11287,16509,27796
2026-09-12 10:12:34,52000a84b2b21305,SM-G903F,6.0.1,orange,LTE,10.120.197.38,-104,-10,,,,,,True,83,34.8,CHARGING,sysfs,11369526868,3285415759,32324,15207,47531
2026-09-12 10:12:35,R5CR303YMGD,SM-G998B,14,orange,"LTE,Unknown",10.115.0.123,-110,-12,1,6,20,6350,370,True,99,34.5,FULL,netstats,2314333026,2143049012,41918,28305,70223
2026-09-12 10:13:05,52000a84b2b21305,SM-G903F,6.0.1,orange,LTE,10.120.197.38,-102,-9,,,,,,True,83,34.8,CHARGING,sysfs,11369742803,3285611315,215935,195556,411491
2026-09-12 10:13:06,R5CR303YMGD,SM-G998B,14,orange,"LTE,Unknown",10.115.0.123,-108,-11,1,6,20,6350,370,True,99,34.8,FULL,netstats,2314735236,2143483825,402210,434813,837023
2026-09-12 10:13:36,52000a84b2b21305,SM-G903F,6.0.1,orange,LTE,10.120.197.38,-102,-9,,,,,,True,83,34.8,CHARGING,sysfs,11370129126,3285958971,386323,347656,733979
2026-09-12 10:13:37,R5CR303YMGD,SM-G998B,14,orange,"LTE,Unknown",10.115.0.123,-110,-11,3,6,20,6350,370,True,99,34.9,FULL,netstats,2314746489,2143490138,11253,6313,17566
2026-09-12 10:14:07,52000a84b2b21305,SM-G903F,6.0.1,orange,LTE,10.120.197.38,-102,-9,,,,,,True,83,34.9,CHARGING,sysfs,11370480167,3286305757,351041,346786,697827
2026-09-12 10:14:08,R5CR303YMGD,SM-G998B,14,orange,"LTE,Unknown",10.115.0.123,-110,-11,5,6,20,6350,370,True,99,35.0,FULL,netstats,2314761446,2143503986,14957,13848,28805
2026-09-12 10:14:38,52000a84b2b21305,SM-G903F,6.0.1,orange,LTE,10.120.197.38,-104,-10,,,,,,True,83,34.9,CHARGING,sysfs,11370525609,3286328326,45442,22569,68011
2026-09-12 10:14:39,R5CR303YMGD,SM-G998B,14,orange,"LTE,Unknown",10.115.0.123,-109,-12,1,7,20,6350,370,True,99,35.2,FULL,netstats,2314782801,2143513285,21355,9299,30654
2026-09-12 10:15:10,52000a84b2b21305,SM-G903F,6.0.1,orange,LTE,10.120.197.38,-103,-11,,,,,,True,83,34.9,CHARGING,sysfs,11370574338,3286349181,48729,20855,69584
2026-09-12 10:15:40,52000a84b2b21305,SM-G903F,6.0.1,orange,LTE,10.120.197.38,-103,-11,,,,,,True,83,35.0,CHARGING,sysfs,11370650624,3286391838,76286,42657,118943
2026-09-12 10:15:41,R5CR303YMGD,SM-G998B,14,orange,"LTE,Unknown",10.115.0.123,-109,-12,0,1,20,6350,370,True,99,35.8,FULL,netstats,2314813410,2143527372,30609,14087,44696
2026-09-12 10:16:11,52000a84b2b21305,SM-G903F,6.0.1,orange,LTE,10.120.197.38,-102,-9,,,,,,True,83,35.0,CHARGING,sysfs,11370672540,3286405147,21916,13309,35225
2026-09-12 10:16:12,R5CR303YMGD,SM-G998B,14,orange,"LTE,Unknown",10.115.0.123,-109,-10,0,6,20,6350,370,True,99,36.0,FULL,netstats,2314827240,2143535947,13830,8575,22405
2026-09-12 10:16:42,52000a84b2b21305,SM-G903F,6.0.1,orange,LTE,10.120.197.38,-105,-9,,,,,,True,83,35.0,CHARGING,sysfs,11370678865,3286409705,6325,4558,10883
2026-09-12 10:16:43,R5CR303YMGD,SM-G998B,14,orange,"LTE,Unknown",10.115.0.123,-109,-10,0,6,20,6350,370,True,99,36.2,FULL,netstats,2314848962,2143556654,21722,20707,42429
2026-09-12 10:17:14,52000a84b2b21305,SM-G903F,6.0.1,orange,LTE,10.120.197.38,-105,-9,,,,,,True,83,35.1,CHARGING,sysfs,11371035155,3286732930,356290,323225,679515
2026-09-12 10:17:14,R5CR303YMGD,SM-G998B,14,orange,"LTE,Unknown",10.115.0.123,-109,-10,0,6,20,6350,370,True,99,36.3,FULL,netstats,2315131178,2143859480,282216,302826,585042
2026-09-12 10:17:45,52000a84b2b21305,SM-G903F,6.0.1,orange,LTE,10.120.197.38,-103,-11,,,,,,True,83,35.1,CHARGING,sysfs,11371060654,3286749761,25499,16831,42330
2026-09-12 10:17:45,R5CR303YMGD,SM-G998B,14,orange,"LTE,Unknown",10.115.0.123,-109,-10,0,6,20,6350,370,True,99,36.5,FULL,netstats,2315134656,2143862077,3478,2597,6075
2026-09-12 10:18:16,52000a84b2b21305,SM-G903F,6.0.1,orange,LTE,10.120.197.38,-103,-11,,,,,,True,83,35.1,CHARGING,sysfs,11371115489,3286775623,54835,25862,80697
2026-09-12 10:18:16,R5CR303YMGD,SM-G998B,14,orange,"LTE,Unknown",10.115.0.123,-109,-10,0,6,20,6350,370,True,99,36.6,FULL,netstats,2315189977,2143917842,55321,55765,111086
2026-09-12 10:18:47,52000a84b2b21305,SM-G903F,6.0.1,orange,LTE,10.120.197.38,-103,-11,,,,,,False,83,35.1,CHARGING,sysfs,11371161813,3286804093,46324,28470,74794
2026-09-12 10:18:48,R5CR303YMGD,SM-G998B,14,orange,"LTE,Unknown",10.115.0.123,-109,-10,0,6,20,6350,370,True,99,36.7,FULL,netstats,2315194047,2143920136,4070,2294,6364
2026-09-12 10:19:18,52000a84b2b21305,SM-G903F,6.0.1,orange,LTE,10.120.197.38,-102,-11,,,,,,True,83,35.1,CHARGING,sysfs,11371178333,3286809101,16520,5008,21528
2026-09-12 10:19:19,R5CR303YMGD,SM-G998B,14,orange,"LTE,Unknown",10.115.0.123,-109,-10,0,6,20,6350,370,True,99,36.8,FULL,netstats,2315196466,2143921820,2419,1684,4103
2026-09-12 10:19:49,52000a84b2b21305,SM-G903F,6.0.1,orange,LTE,10.120.197.38,-103,-9,,,,,,False,83,35.1,CHARGING,sysfs,11371191121,3286813174,12788,4073,16861
2026-09-12 10:19:50,R5CR303YMGD,SM-G998B,14,orange,"LTE,Unknown",10.115.0.123,-109,-13,-1,6,20,6350,370,True,99,37.0,FULL,netstats,2315210695,2143936891,14229,15071,29300
2026-09-12 10:20:21,52000a84b2b21305,SM-G903F,6.0.1,orange,LTE,10.120.197.38,-102,-9,,,,,,True,83,35.2,CHARGING,sysfs,11372601222,3288207229,1410101,1394055,2804156
2026-09-12 10:20:21,R5CR303YMGD,SM-G998B,14,orange,"LTE,Unknown",10.115.0.123,-109,-11,0,7,20,6350,370,True,99,37.2,FULL,netstats,2315214797,2143939338,4102,2447,6549
2026-09-12 10:20:52,52000a84b2b21305,SM-G903F,6.0.1,orange,LTE,10.120.197.38,-101,-10,,,,,,True,83,35.3,CHARGING,sysfs,11373936556,3289534262,1335334,1327033,2662367
2026-09-12 10:20:53,R5CR303YMGD,SM-G998B,14,orange,"LTE,Unknown",10.115.0.123,-109,-11,0,7,20,6350,370,True,99,37.2,FULL,netstats,2315225760,2143956886,10963,17548,28511
2026-09-12 10:21:23,52000a84b2b21305,SM-G903F,6.0.1,orange,LTE,10.120.197.38,-103,-10,,,,,,True,83,35.3,CHARGING,sysfs,11374007805,3289578610,71249,44348,115597
2026-09-12 10:21:24,R5CR303YMGD,SM-G998B,14,orange,"LTE,Unknown",10.115.0.123,-109,-11,0,7,20,6350,370,True,99,37.3,FULL,netstats,2315229362,2143959313,3602,2427,6029
2026-09-12 10:21:54,52000a84b2b21305,SM-G903F,6.0.1,orange,LTE,10.120.197.38,-103,-10,,,,,,True,83,35.3,CHARGING,sysfs,11374220401,3289776947,212596,198337,410933
